city,quarter_year,quarter,year,link
Bristol,4_2021,4,2021,http://data.insideairbnb.com/united-kingdom/england/bristol/2021-12-23/data/listings.csv.gz
Bristol,3_2021,3,2021,http://data.insideairbnb.com/united-kingdom/england/bristol/2021-09-27/data/listings.csv.gz
Bristol,1_2021,1,2021,http://data.insideairbnb.com/united-kingdom/england/bristol/2021-03-20/data/listings.csv.gz
Great Manchester,4_2021,4,2021,http://data.insideairbnb.com/united-kingdom/england/greater-manchester/2021-12-23/data/listings.csv.gz
Great Manchester,3_2021,3,2021,http://data.insideairbnb.com/united-kingdom/england/greater-manchester/2021-09-25/data/listings.csv.gz
Great Manchester,2_2021,2,2021,http://data.insideairbnb.com/united-kingdom/england/greater-manchester/2021-06-30/data/listings.csv.gz
Great Manchester,1_2021,1,2021,http://data.insideairbnb.com/united-kingdom/england/greater-manchester/2021-03-20/data/listings.csv.gz
London,4_2021,4,2021,http://data.insideairbnb.com/united-kingdom/england/london/2021-12-07/data/listings.csv.gz
London,3_2021,3,2021,http://data.insideairbnb.com/united-kingdom/england/london/2021-09-09/data/listings.csv.gz
London,2_2021,2,2021,http://data.insideairbnb.com/united-kingdom/england/london/2021-06-07/data/listings.csv.gz
London,1_2021,1,2021,http://data.insideairbnb.com/united-kingdom/england/london/2021-03-05/data/listings.csv.gz